@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-27,30-38,40,43,48-49,52-67,70-77,79-101'

@attribute pctWhite numeric
@attribute persPoverty numeric
@attribute pctPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute pctKids2Par numeric
@attribute pctKids-4w2Par numeric
@attribute pct12-17w2Par numeric
@attribute kidsBornNevrMarr numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
82.95,20778,21.65,12.64,15.24,14.02,64.25,60.53,65.2,68.41,3248,3.75,66.74,3.73,6.42,1
73.76,44544,20.48,12.24,15.74,14.13,59.54,55.76,65.25,61.31,11819,6.73,62.16,1.56,4.98,0
69.91,4662,6.81,10.82,16.09,13.3,71.07,70.29,84.95,71.5,1219,2.84,48.16,6.39,1.41,0
98.01,392,3.21,3.1,5.09,4.1,93.07,91.5,97.66,94.24,45,0.44,92.3,4.84,0.6,1
75.51,16903,18.31,9.75,11.68,10.8,53.15,49.59,59.38,54.73,5658,8.96,42.85,2.21,6.74,0
78.57,5186,6.16,10.48,14.45,12.55,76.33,73.21,91.74,80.39,1396,2.51,55.57,7.12,0.81,1
98.4,425,2.41,4.49,6.88,5.69,88.31,84.95,94.44,90.01,115,0.91,93.8,1.21,0.4,1
78.24,52903,13.98,12.19,16.37,14.37,68.56,66.04,76.7,72.57,10309,3.69,61.91,4.91,6.53,0
49.64,13710,28.78,11.47,16.1,14.05,55.85,46.39,59.93,59.98,4002,9.08,56.95,5.54,10.81,0
69.07,7732,7.09,12.82,15.93,14.47,65.23,60.72,77.59,61.34,4158,7.23,41.45,5,2.21,0
97.59,3772,17.15,6.02,7.47,6.8,75.21,75.29,78.47,81.25,405,2.33,68.49,1.81,3.52,0
90.63,597,3.52,6.45,9.31,7.91,83.97,82.11,92.16,70.2,136,1.36,82.93,1.18,0.63,1
86.84,4201,19.29,10.86,14.04,12.58,66.1,61.89,71.56,74.26,729,3.85,60.95,1.3,7.78,0
76.65,3827,18.29,9.24,12.77,11.06,75.94,71.67,82.09,79.25,456,2.87,53.36,4.7,10.97,0
84.86,2651,14.01,11.55,14.42,13.03,74.86,70.4,76.28,73.8,233,1.65,55.05,7.55,9.41,0
98.16,2322,13.44,7.25,8.78,8.07,78.98,79.82,83.44,83.72,177,1.16,70.28,1.73,4.54,1
80.5,22307,5.86,8.83,12.61,10.69,81.23,78.47,88.85,81.03,5599,2.35,64.46,2.48,2.5,1
81.68,2705,19.77,12.76,14.96,13.95,64.3,60.39,68.87,71.86,600,5.03,60.58,2.94,12.86,1
65.09,4922,19.89,10.91,14.14,12.75,56.04,49.67,64.92,59.42,1821,7.89,52.36,3.97,11.53,0
64.94,3966,12.12,13.43,17.38,15.58,54.67,47.6,66.45,55.13,2397,9.73,49.08,3.16,4.62,0
95.12,948,3.15,6.13,9.28,7.79,83.8,81.76,96.11,88.45,188,0.9,73.89,0.82,0.28,1
86.65,2954,11.53,10.54,13.61,12.19,65.95,60.05,65.13,71.51,1246,6.42,65.7,2.49,5.13,1
